Date,Product,Category,Quantity,Price,Region
2025-01-01,Laptop,Electronics,5,50000,Hyderabad
2025-01-02,Mouse,Electronics,20,500,Chennai
2025-01-03,Chair,Furniture,10,3000,Bangalore
2025-01-04,Laptop,Electronics,3,50000,Hyderabad
2025-01-05,Table,Furniture,8,8000,Chennai
2025-01-06,Keyboard,Electronics,15,1500,Bangalore
2025-01-07,Monitor,Electronics,7,12000,Hyderabad
2025-01-08,Desk,Furniture,4,12000,Chennai
2025-01-09,Mouse,Electronics,25,500,Hyderabad
2025-01-10,Chair,Furniture,6,3000,Bangalore
